,Energy_kcal,Carb_pct,Protein_pct,Fat_pct,Moisture_g,Ash_g,Fiber_g,Na_mg,K_mg,Ca_mg,Zn_mg,Fe_mg,P_mg,I_mg,Mg_mg,Cu_mg,VitA,VitE,VitK,VitC,VitB1,VitB2,VitB3,VitB5,VitB6,VitB7,VitB9,Hardness_g,Firmness_g,Strength_g,pH,L_star,a_star,b_star,Chroma,Appearance,Colour,Texture,Flavour,Aroma,Overall_Accept,TPC_mgGAE,TFC_mgQE,DPPH_pct
Zn_mg,0.4040939153172789,-0.4330519798617042,0.8459558929995503,0.9778674587588083,-0.42672576540584284,-0.7273445044762288,0.9462973509617918,-0.3797356490653847,-0.5196024322743581,0.9340253716410024,1.0,0.5470511944168078,-0.20964397988280364,-0.3919715295241086,0.9998916913503676,0.9914573982080401,,-0.39197152952410813,,,0.9501410458026427,-0.2077201269196546,-0.20751096055403417,-0.20749016280710225,-0.20746501448373594,0.3919715295241089,-0.20751433915982237,0.18320802375208062,0.3080234438752592,0.23139472342433587,-0.7433742718662082,0.5864779772577526,0.47547428506820527,0.34211232810249903,0.39847987837199916,-0.7436599635634874,0.01825658875742382,-0.2171087592636874,-0.2623780274077398,-0.8640411433709233,0.07946094413035816,0.34670237822834055,0.37165042583789926,0.8129599679790172
Fe_mg,0.7337782067398944,-0.7965134074803785,0.8475526077237515,0.7100053575684788,0.22072941960979028,0.1055498509536248,0.38247415151204184,0.5631691908204883,0.31133886788584353,0.7937104692918779,0.5470511944168078,1.0,-0.4009535456647816,-0.7328457798629512,0.5588474948586863,0.5801695757248364,,-0.7328457798629503,,,0.4294514393330234,-0.3967718497449105,-0.3969611882409926,-0.39698000862506605,-0.39700276453891575,-0.5496343348972133,-0.3969581307590987,-0.6573010589250669,-0.4312930881169954,-0.47812201796725057,0.12499860659285968,0.3284537748967344,0.24798094729722894,0.10806604273126698,0.16617705645493555,-0.7454140922585692,-0.8007954599861973,-0.9201683184570358,-0.9868248450535606,-0.24439818970758337,-0.7613873523106641,0.9748285002013897,0.9621887093580085,0.9297402094221676
P_mg,0.3281566868490868,-0.23443814290191367,-0.08690316995425802,-0.27070951925940334,0.5667216319289121,0.24961412756971246,-0.3996996865865468,-0.3157116817729806,0.29896264947583306,-0.20487137817573767,-0.20964397988280364,-0.4009535456647816,1.0,-0.32922132138250887,-0.21079763991541242,-0.3353845910495761,,-0.32922132138251015,,,0.10569737202267346,0.9999894980778544,0.9999905185096994,0.9999906099662623,0.9999907181371913,0.33538459104957596,0.9999905034816607,-0.08076691872946985,-0.39286189998582605,-0.3983799322951661,0.130818319819305,-0.8679662460117253,-0.900470953102812,-0.895802357923499,-0.900614496105084,-0.19338821998366132,0.5546632332728939,0.1982830196320214,0.9908985592379708,-0.299744545939059,0.07111313505882051,-0.38836979603418914,-0.5712147215100336,-0.31515985257182483
I_mg,-0.9999029160565486,0.9950801869511323,-0.8001648812021575,-0.5171264284702511,-0.660986801444699,-0.3122425445607758,-0.08036774064327273,-0.36178206305840066,-0.5587925760584496,-0.654355398140176,-0.3919715295241086,-0.7328457798629512,-0.32922132138250887,1.0,-0.4034233789249544,-0.3333333333333331,,1.0000000000000002,,,-0.5046338867329523,-0.33353165747222974,-0.3333300770676676,-0.33331003227200534,-0.3332857940840423,0.3333333333333334,-0.3333333333333332,0.7499128389454703,0.7487963810169921,0.7999829756581837,-0.24467405139809859,0.31547318333650853,0.4210086800058344,0.5604328278173368,0.5046819694010676,0.9041333421524925,0.4238914976631189,0.8076797683067962,,0.4576793691924748,0.7433111162394345,-0.7205452572428048,-0.5709899181888735,-0.7171434465648283
Mg_mg,0.41544430848303354,-0.44489331129044435,0.8534562929297774,0.9807487685799374,-0.41609908611357493,-0.717424828564056,0.9427863430792359,-0.36700309616330085,-0.5075758246857012,0.9391731956596453,0.9998916913503676,0.5588474948586863,-0.21079763991541242,-0.4034233789249544,1.0,0.9914995503985173,,-0.403423378924954,,,0.9496810890383544,-0.2088137491456625,-0.20861009093668925,-0.20858984080898527,-0.2085653546427199,0.3794627908932597,-0.20861338058030274,0.16883431210478067,0.29533683047454484,0.21853027190696903,-0.733458902206425,0.5833012342403968,0.47169645173281227,0.33699475732200507,0.3938969679713999,-0.7514389092386982,0.005530354951537748,-0.2314070128894631,-0.2705715212601777,-0.8617793679253118,0.06478185874942395,0.35997099063105964,0.3836484661933218,0.8213110725919386
Cu_mg,0.34515854720281464,-0.38554767391095524,0.8263997953399332,0.9781789068654154,-0.48712763301793904,-0.7344296470654859,0.9651931570459129,-0.32417707943264185,-0.5409316261387727,0.9270749480858853,0.9914573982080401,0.5801695757248364,-0.3353845910495761,-0.3333333333333331,0.9914995503985173,1.0,,-0.3333333333333323,,,0.9013533380542884,-0.33353165747222985,-0.3333300770676676,-0.33331003227200556,-0.33328579408404246,0.3333333333333333,-0.3333333333333333,0.18778778682211117,0.34963184546153225,0.2765440535828878,-0.7340221541942947,0.6809869405815628,0.5783951024379221,0.4493266112238129,0.5042593551470124,-0.6904290976437238,-0.05598566950267365,-0.23514727431716997,-0.3788729785321643,-0.7925667125040461,0.0675737378399495,0.3854079282926635,0.43388665961584333,0.8250374728673049
VitA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VitE,-0.9999029160565487,0.9950801869511323,-0.8001648812021571,-0.5171264284702506,-0.6609868014446995,-0.31224254456077605,-0.08036774064327222,-0.3617820630584001,-0.5587925760584497,-0.6543553981401755,-0.39197152952410813,-0.7328457798629503,-0.32922132138251015,1.0000000000000002,-0.403423378924954,-0.3333333333333323,,1.0,,,-0.5046338867329516,-0.3335316574722293,-0.33333007706766715,-0.33331003227200495,-0.3332857940840419,0.3333333333333343,-0.3333333333333327,0.7499128389454709,0.7487963810169924,0.799982975658184,-0.24467405139809925,0.3154731833365084,0.4210086800058343,0.5604328278173367,0.5046819694010674,0.9041333421524923,0.4238914976631197,0.8076797683067964,,0.4576793691924739,0.743311116239435,-0.7205452572428053,-0.5709899181888738,-0.7171434465648282
VitK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VitC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
